Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
17;1002137;2НДФЛ;Ремонт;1;0.23;мужской;0;0;высшее;специалист;>250;0;114;35;Информационные технологии;ЗАО;холост / не замужем;1;1;0;0;0;0;1;1;0;0;0.375;3;5;125;8;0;0;5;90;0;0;0;0;0;0;0
17;1002157;Поступление зарплаты на счет;Ремонт;0;0.24;женский;0;0;высшее;специалист;>250;0;25;29;Торговля;ООО;женат / замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002177;Поступление зарплаты на счет;Ремонт;1;0.31;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;195;42;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002197;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;высшее;вспомогательный персонал;>250;1;24;33;Юридические услуги;ООО;женат / замужем;3;3;3;3;1;0;1;0;0;0;0.25;1;3;42;4;0;0;17;123;0;0;0;0;0;0;0
17;1002217;Поступление зарплаты на счет;Ремонт;0;0.29;мужской;0;0;высшее;вспомогательный персонал;>250;0;26;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002237;Поступление зарплаты на счет;Ремонт;0;0.32;женский;0;0;высшее;специалист;>250;0;44;29;Торговля;ООО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0.4;2;3;69;5;1;2;13;75;0;0;0;0;0;0;0
17;1002257;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.35;мужской;0;0;высшее;менеджер высшего звена;>250;0;35;56;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0540540541;1;0;0;0;0.2;2;3;105;5;2;1;30;173;1;1;1;1;0;0;0
17;1002277;Форма банка (без печати работодателя);Ремонт;1;0.22;женский;0;0;среднее-специальное;специалист;>250;0;24;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002297;Поступление зарплаты на счет;Другое;1;0.23;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002317;Поступление зарплаты на счет;Ремонт;0;0.57;мужской;1;0;высшее;специалист;>250;0;102;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
